icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QKS,RWF,Jul-24,current_actuals,E.B.35,Percentage,85.26570048309179,E.B.35Percentage
QKS,RVV,Jul-24,current_actuals,E.B.35,Denominator,452.5,E.B.35Denominator
QKS,RVV,Jul-24,current_actuals,E.B.35,Numerator,324,E.B.35Numerator
QKS,RVV,Jul-24,current_actuals,E.B.35,Percentage,71.60220994475138,E.B.35Percentage
QNX,QNX,Jul-24,current_actuals,E.B.35,Denominator,1070,E.B.35Denominator
QNX,QNX,Jul-24,current_actuals,E.B.35,Numerator,679,E.B.35Numerator
QNX,QNX,Jul-24,current_actuals,E.B.35,Percentage,63.45794392523364,E.B.35Percentage
QU9,RXQ,Jul-24,current_actuals,E.B.35,Denominator,200.5,E.B.35Denominator
QU9,RXQ,Jul-24,current_actuals,E.B.35,Numerator,129,E.B.35Numerator
QU9,RXQ,Jul-24,current_actuals,E.B.35,Percentage,64.33915211970074,E.B.35Percentage
QRL,R1F,Jul-24,current_actuals,E.B.35,Denominator,67.5,E.B.35Denominator
QRL,R1F,Jul-24,current_actuals,E.B.35,Numerator,35,E.B.35Numerator
QRL,R1F,Jul-24,current_actuals,E.B.35,Percentage,51.85185185185185,E.B.35Percentage
QU9,RHW,Jul-24,current_actuals,E.B.35,Denominator,257.5,E.B.35Denominator
QU9,RHW,Jul-24,current_actuals,E.B.35,Numerator,190.5,E.B.35Numerator
QU9,RHW,Jul-24,current_actuals,E.B.35,Percentage,73.98058252427184,E.B.35Percentage
QRL,RHU,Jul-24,current_actuals,E.B.35,Denominator,371.5,E.B.35Denominator
QRL,RHU,Jul-24,current_actuals,E.B.35,Numerator,265.5,E.B.35Numerator
QRL,RHU,Jul-24,current_actuals,E.B.35,Percentage,71.46702557200538,E.B.35Percentage
QNX,RXC,Jul-24,current_actuals,E.B.35,Denominator,279.5,E.B.35Denominator
QNX,RXC,Jul-24,current_actuals,E.B.35,Numerator,192.5,E.B.35Numerator
QNX,RXC,Jul-24,current_actuals,E.B.35,Percentage,68.87298747763863,E.B.35Percentage
QNQ,RDU,Jul-24,current_actuals,E.B.35,Denominator,324,E.B.35Denominator
QNQ,RDU,Jul-24,current_actuals,E.B.35,Numerator,232,E.B.35Numerator
